Company Name,Job Summary,Job Title,Location,Salary
S&P Global Ratings,Research and resolve data maintenance requests related to Corporate & Government and Structured Finance ratings data....,Statistician,New York,L
Bloomberg,Bloomberg's Global Data division houses an incredible team of data oriented professionals who work to solve tangible business challenges....,Machine Learning Engineer,New York,L
AllianceBernstein,"Job Number: 7473 Position Title: VP/Research Analyst Location_formattedLocationLong: New York, New York US External Description: Research is the",Research Analyst,New York,L
Bloomberg,"Evaluate cutting-edge big data technologies/software (e.g. Strong Computer Science fundamentals (algorithms, data structures)....",Senior Data Engineer for Search and Discoverability Team,New York,L
eTemp,"High growth company focused on using data science to transform the way individuals are hired, is looking for an inventive, collaborative, methodologically...",Mid - Senior Level Data Scientist,New York,L
MLB Advanced Media,"Undergraduate (Bachelors) degree with (3) years of experience in data research, predictive modeling, statistical analysis, data transformation and / or other...",Senior Statistical Analyst,New York,L
NBCUniversal,"Strong analytical skills, able to analyze qualitative and quantitative data with client needs in mind. Analyze and interpret ratings data across the NBC Owned...",Research Analyst,New York,L
IPG Mediabrands,Present findings and back up recommendations with hard data. Brainstorm new ways of utilizing data to determine valuable business insights....,"Reprise - Statistical Analyst, SEO",New York,L
Samsung Accelerator,"Solid foundation in data structures, algorithms, distributed systems and software design. Who We Are Looking For:....",Machine Learning Engineer,New York,L
"Two Sigma Investments, LLC.","Analysts, Data Scientists, Traders, and Quantitative Software Engineers. Actively collecting, interpreting, and distributing useful market data and intelligence...","Recruiter, Quant Research & Trading",New York,L
Columbia University,"The lab, integrates the full spectrum of computational and experimental approaches and techniques, with specific focus on high-throughput data generation....",Associate Research Scientist,New York,L
The Nielsen Company,Able to synthesize data & simplify findings by creating reports through charts/graphs. Assist and network with industry leading clients to simplify their data...,Research Analyst,New York,L
Xaxis,"Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and...","Analyst, Automated Trading",New York,L
DISH Network,A successful Data Scientist will have the following:. Developing critical analytics using key DISH data sources including the viewer measurement data and...,Data Scientist,New York,L
"Two Sigma Investments, LLC.","Developing trading strategies, from idea generation and data collection to analysis and model creation;...",Quantitative Research Associate,New York,L
New York University College of Dentistry,"JUNIOR RESEARCH SCIENTIST*. Uses computers for word processing, data acquisition and statistical analysis....",JUNIOR RESEARCH SCIENTIST McDevitt Research Laboratory,New York,L
JPMorgan Chase,"Data Scientist - New York, NY. This includes a balance of marketing/campaign optimization, data wrangling and data science....","Digital Marketing – Sr. Data Scientist - New York, NY",New York,L
Mount Sinai Health System,The data collection process. For data collection and analysis. Reliable data for entry into the Program. Website and assuring the transmission of completed data...,QUALITY IMPROVEMENT RESEARCH ANALYST,New York,L
KUONI,"Ability to aggregate data and format in a visually presentable way in MS Excel, Powerpoint, Word. Generate reports from GTA databases (Atlas, Sales Force,...",Quantitative Business Analyst,New York,L
1199SEIU Family of Funds,Prepare data requests and reports. Manage and review payroll postings to ensure they are entered accurately and efficiently....,Research Analyst,New York,L
Mount Sinai Health System,Collects and records study data. Ensures accurate and complete compilation of subject data through chart reviews....,CLINICAL RESEARCH ASSISTANT I,New York,L
Memorial Sloan Kettering,Interact with team members and individuals across MSK regarding data input. You are comfortable with or interested in working with and organizing large amounts...,Research Study Assistant I,New York,L
NBCUniversal,"He/she will work with cross functionally in the planning, creation and communication of trends and insights through data analysis and storytelling....","Senior Analyst, Strategic Research & Insights",New York,L
Voya Financial,Proactively uncover and resolve data and calculation issues. Maintain and expand the internal data warehouse from which the analytics are generated....,Quantitative Analyst,New York,L
Cardiovascular Research Foundation,"Develops query designs, standard tables for the presentation of data, analyses of data and reports as requested....",Clinical SAS Statistical Programmer – Contract,New York,L
Spotify,"You have experience with a range of data science techniques including clustering, machine learning, and network analysis....",Research Lead / Data Scientist,New York,L
Facebook,"Machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence. The position will involve taking these skills and...","Software Engineer, Machine Learning",New York,L
Xaxis,"Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and...","Analyst, Strategy and Investment",New York,L
Squarespace,Experience with a large scale data processing tools such as Apache Spark. Squarespace has access to incredibly rich data sources of both content creation and...,Software Engineer - Machine Learning,New York,L
Enigma,We value data scientists who can quickly implement elegant solutions to complex problems. As a Senior Data Scientist with the Analytics group your contributions...,Senior Data Scientist,New York,L
United Nations,"A minimum of ten years of progressively responsible experience level in the collection, compilation, analysis and dissemination of statistical data or related...",Senior Statistician,New York,L
DEPARTMENT OF SANITATION,The Data Scientist will also be provided the flexibility to experiment with his or her own ideas for improving operational insight and awareness through a data...,Computer Systems Manager I,New York,L
Preqin,"The focus of a research analyst is on the compilation of data and written profiles, as well as the production of accurate and high quality analysis, both of...",Research Analyst,New York,L
Grant Thornton,"Use sophisticated data and quantitative analysis techniques to assure data integrity, map data to appropriate industry sectors, geographies, account types and...",Quantitative Analyst,New York,L
MLB Advanced Media,"Undergraduate (Bachelors) degree with (1) year of experience in data research, predictive modeling, statistical analysis, data transformation and / or other...",Statistical Analyst,New York,L
Celmatix,Our unique approach combines data science and genomics on a proprietary platform that is bringing precision medicine to fertility....,Digital Marketing Associate,New York,L
Time Warner Cable,TWCGN0003 Data Analytics&Rptg Analys-Int Exempt. Client Reference Code:....,Research Analyst - Media,New York,L
Google,"Passionate people are everywhere at Google. In Developer Relations, we get excited to collaborate and connect with the communities that love technology as","Developer Programs Engineer, Machine Learning",New York,L
Mount Sinai Health System,"Assists in the collection, analysis and review of experimental data for publication and presentation....",ASSOCIATE RESEARCHER II,New York,L
OnDeck,"Modeling / Stats / Machine learning is a plus (mostly for empathy with data scientists). Data pipelines for building prototypes and testing, farms of model...",Analytics Engineer,New York,L
Columbia University,"Develop, characterize and optimize bioinformatics tools to analyze high-throughput genetic and genomic data (genome-wide SNPs, whole exome/genome sequencing,...",Postdoctoral Research Scientist,New York,L
FactSet Research Systems,Just the right kind of work for a passionate data scientist and engineer. The candidate should be a creative data scientist and be interested in the financial...,Data Scientist,New York,L
Memorial Sloan Kettering Cancer Center,"Working together with members in the group, the *Bioinformatics Data Scientist*. As part of their role the Bioinformatics data scientist will support end-to-end...","Bioinformatics Data Scientist - Cancer Genomics, NYC",New York,L
Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...",Data Scientist – Predictive Analytics,New York,L
MLB Advanced Media,"2+ years of professional experience as a Data Scientist. As a Data Scientist at MLBAM, you will be a hands-on lead for data science in the organization....",Sr. Data Scientist,New York,L
Société Générale,"Based on the risk model, stress test or risk process documentation and data, and using its technical skills and critical spirit the auditor will benchmark and...",Quantitative Analyst (Regulatory Models),New York,L
Aetna,"Aetna’s Consumer Health Services Clinical Analytics team is seeking a Lead Data Scientist in either our New York, NY;...",Lead Data Scientist,New York,L
PlaceIQ,"You will interface regularly with our team of data scientists to uncover insights from advertising campaigns into coherent, data-driven narratives....",Reporting Analyst,New York,L
Fox Television Stations,"Established in 2001, Fox Stations Sales (FSS) is the national sales organization for the Fox owned and operated television stations group representing 17 Fox",Research Analyst,New York,L
1010data,1010data is a highly differentiated product that is becoming the industry standard for Big Data Discovery and Data Sharing....,Market Research Analyst; Online Insights,New York,L
Gilt Groupe,"Machine Learning Data Scientist. Enjoy transforming raw data into features and predictors, and are experienced in statistical modeling and can robustly build,...",Machine Learning Data Scientist,New York,L
Citi,"Data analysis and present to desk. Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries...",Global Credit Quantitative Analyst,New York,L
Data Inc.,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Seeking a Data Scientist to work on a long term consulting...,Data scientist - BC,New York,L
T3 Trading Group LLC,Statistical Pairs Trading and Convergence Position We are currently hiring proprietary traders for our selective Pairs Trading Group. The pair trade or pairs,Statistical Pairs Trading and Convergence Position Opening,New York,L
Blue Apron,"Work closely with and learn from other world class data engineers and data scientists. You will be a steward of data integrity and accessibility, and you will...",Data Ops Engineer,New York,L
Mount Sinai Health System,"Conducts research to develop methodologies, instrumentation and procedures for medical application, analyzing data and presenting findings....",ASSOCIATE SCIENTIST,New York,L
Mount Sinai Health System,"Data, and relating this information to disease. Candidates will have experience with large-scale data analysis problems (from....",Bioinformatician I - Psychiatric Genomics,New York,L
PlaceIQ,"Having already assembled an exceptionally skilled, diverse and passionate group of developers and data scientists, we are looking for world-class engineers that...",Software Engineer/Data Scientist - Innovation,New York,L
Mount Sinai Health System,"As a member of the ISMMS Scientific Computing Group, the Computational Scientist works with scientists and researchers to effectively use our high performance...",COMPUTATIONAL SCIENTIST,New York,L
Memorial Sloan Kettering,Install and maintain software and data. Manage and archive large data sets from next-generation sequencing experiments....,Computational Biologist / Bioinformatics Analyst,New York,L
RBC,". What is the opportunity? A role as a Quantitative Analyst in the Fixed Income and Currencies Team with a focus on researching, developing and implementing",Quantitative Analyst,New York,L
Weight Watchers International,Work closely with our data scientists to help build complex algorithms that provide unique insights into our data....,Data Engineer,New York,L
NBCUniversal,"Serve as a senior data scientist for audience studio data products. You will be part of the Audience Studio Data Technology team, participating in the data...","Principal, Data Science",New York,L
Polaris Management,"Analyze and collect data, present and defend findings. Polaris is seeking a Global Regulatory Research Analyst whose focus will be to maintain up-to-date...",Global Regulatory Research Analyst,New York,L
Xaxis,"Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and...",XMG Analyst,New York,L
City of New York,City Research Scientist. Write SQL to query data from Oracle databases. Coordinate and perform data matches with datasets from external agencies....,Predictive Risk Analyst,New York,L
"Two Sigma Investments, LLC.","Developing trading strategies, from idea generation and data collection to analysis and model creation;...",Quantitative Research Associate - Campus Hire,New York,L
NewYork-Presbyterian/Columbia University Medical C...,That’s why we’re seeking a talented professional like you to join our collaborative team of clinical data scientists and quality improvement experts in NewYork...,Operations Analyst,New York,L
SecurityScorecard,"Looking for a versatile, and experienced data scientist to join the Marketing team at a fast growing, and well funded cybersecurity startup located in the heart...",Data Science - Marketing,New York,L
Splash,"During your internship, you'll be a contributing member of our product and data science team, working side by side with the product managers and data scientists...",Summer 2016 Internship - Product Analyst,New York,L
AplusA,"Perform quality control checks of translations, survey websites, and data. AplusA is a global healthcare market research agency with over 25 years’ history,...",Market Research Analyst,New York,L
Next Step Systems,"Quantitative Analyst, New York City, NY New York City NY Jobs, Quantitative Analyst, C/C++, Java, New York Recruiters, Information Technology Jobs,",Quantitative Analyst,New York,L
NYU Langone Medical Center,Assist team in ensuring data quality. We have an exciting opportunity to join our team as a Research Data Associate....,Research Data Associate,New York,L
Amyx,5 or more years experience with data migrations and data loading into platforms involving both structured and unstructured data and writing/ executing SQL and...,"SEC JourneyMan Statistician, Quantitative Analytics Unit Tea...",New York,L
BNY Mellon,"The incumbent ensures that model development, implementation, data input, reporting, documentation, validation and maintenance use best practices, adhere to...",Jr Quantitative Risk Analyst,New York,L
KPMG,"Work with data scientist to identify data needs, sources, and structure to support client issues problem solving....",Big Data Analytics Business Consultant,New York,L
CipherHealth,Identifying useful report features or new reports and conveying these stories to our data scientists and developers to produce them....,Analytics Associate,New York,L
